2018-01-09 09:14:13.613 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453611, lastWriteTime=1515460453613]
2018-01-09 09:14:13.615 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453614, lastWriteTime=1515460453615]
2018-01-09 09:14:13.615 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453614, lastWriteTime=1515460453615]
2018-01-09 09:15:12.703 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512701, lastWriteTime=1515460512703]
2018-01-09 09:15:12.702 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512701, lastWriteTime=1515460512702]
2018-01-09 09:15:12.703 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512702, lastWriteTime=1515460512703]
2018-01-09 09:15:12.705 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512704, lastWriteTime=1515460512705]
2018-01-09 09:15:12.706 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512705, lastWriteTime=1515460512706]
2018-01-09 09:15:12.706 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512705, lastWriteTime=1515460512706]
2018-01-09 09:15:12.710 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512708, lastWriteTime=1515460512710]
